Year Make Model,Nickname,Ordinal,Year,Make,Model,Car Division,Spec,PI,Class
2016 Chevrolet #24 Hendrick Motorsports NAPA Super Sport,#24 NAPA Chevy,,2016,Chevrolet,#24 Hendrick Motorsports NAPA Super Sport,NASCAR,Livery,,
2016 Chevrolet #4 Stewart-Haas Racing Jimmy John’s Super Sport,,,2016,Chevrolet,#4 Stewart-Haas Racing Jimmy John’s Super Sport,NASCAR,Livery,,
2016 Chevrolet #4 Stewart-Haas Racing Outback Steakhouse Super Sport,,,2016,Chevrolet,#4 Stewart-Haas Racing Outback Steakhouse Super Sport,NASCAR,Livery,,
2016 Chevrolet #41 Stewart-Haas Racing Haas Automation Super Sport,,,2016,Chevrolet,#41 Stewart-Haas Racing Haas Automation Super Sport,NASCAR,Livery,,
2016 Chevrolet #42 Chip Ganassi Racing Target Super Sport,,,2016,Chevrolet,#42 Chip Ganassi Racing Target Super Sport,NASCAR,Livery,,
2016 Chevrolet #48 Hendrick Motorsports Lowe's Super Sport,#48 Lowe's Chevy,,2016,Chevrolet,#48 Hendrick Motorsports Lowe's Super Sport,NASCAR,Livery,,
2016 Chevrolet #5 Hendrick Motorsports FARMERS Insurance Super Sport,,,2016,Chevrolet,#5 Hendrick Motorsports FARMERS Insurance Super Sport,NASCAR,Livery,,
2016 Chevrolet #5 Hendrick Motorsports Great Clips Super Sport,,,2016,Chevrolet,#5 Hendrick Motorsports Great Clips Super Sport,NASCAR,Livery,,
2016 Chevrolet #88 Hendrick Motorsports Nationwide Insurance Super Sport,,,2016,Chevrolet,#88 Hendrick Motorsports Nationwide Insurance Super Sport,NASCAR,Livery,,
2015 Chevrolet #1 Team Penske IndyCar,#1 Chevy Indy,,2015,Chevrolet,#1 Team Penske IndyCar,IndyCar,Livery,,
2015 Chevrolet #67 CFH Racing IndyCar,#67 Chevy Indy,,2015,Chevrolet,#67 CFH Racing IndyCar,IndyCar,Race,,
2015 Chevrolet #9 Target Chip Ganassi Racing IndyCar,#9 Chevy Indy,,2015,Chevrolet,#9 Target Chip Ganassi Racing IndyCar,IndyCar,Livery,,
2015 Chevrolet Corvette Z06 Forza Edition,Corvette '15 FE,,2015,Chevrolet,Corvette Z06 Forza Edition,Sport GT,Upgraded,771,S
2015 Chevrolet Corvette Z06 Horizon Edition,,,2015,Chevrolet,Corvette Z06 Horizon Edition,Modern Muscle,Upgraded,883,S1
2014 Chevrolet #4 ROAL Motorsport RML Cruze TC1 WTCC,#4 Chevy Cruze,,2014,Chevrolet,#4 ROAL Motorsport RML Cruze TC1 WTCC,Forza Touring Cars,Race,750,S
2014 Chevrolet Corvette Stingray,,,2014,Chevrolet,Corvette Stingray,Modern GT,Factory,797,A
2014 Chevrolet Super Sport,Chevy SuperSport,,2014,Chevrolet,Super Sport,Sport Touring,Factory,523,B
2014 Chevrolet Super Sport Forza Edition,SuperSport FE,,2014,Chevrolet,Super Sport Forza Edition,Sport Touring,Upgraded,673,A
2013 Chevrolet #1 Andretti Autosport Dallara DW12,,,2013,Chevrolet,#1 Andretti Autosport Dallara DW12,Modern Indy,Race,607,A
2013 Chevrolet #12 Team Penske Dallara DW12,,,2013,Chevrolet,#12 Team Penske Dallara DW12,Modern Indy,Livery,,
2013 Chevrolet Summit Racing Pro Stock Camaro,,,2013,Chevrolet,Summit Racing Pro Stock Camaro,?,Race,,
2012 Chevrolet Camaro ZL1,Chevy Camaro '12,,2012,Chevrolet,Camaro ZL1,Sport Touring,Factory,631,A
2012 Chevrolet Camaro ZL1 (#88 Mt Dew Xbox livery),,,2012,Chevrolet,Camaro ZL1 (#88 Mt Dew Xbox livery),Modern Muscle Cars,Livery,,
2011 Chevrolet #04 Chevrolet Racing Monte Carlo SS Stock Car,,,2011,Chevrolet,#04 Chevrolet Racing Monte Carlo SS Stock Car,AmStock,Livery,730,R3
2011 Chevrolet #4 Corvette Racing ZR1,#4 Chevy ZR1,,2011,Chevrolet,#4 Corvette Racing ZR1,Forza GT,Race,825,R
2011 Chevrolet Spark,,,2011,Chevrolet,Spark,City,Factory,116,F
2011 Chevrolet Volt,,,2011,Chevrolet,Volt,Sedan,Factory,190,F
2010 Chevrolet #89 Intersport Racing Oreca FLM09,#89 Chevy FLM09,,2010,Chevrolet,#89 Intersport Racing Oreca FLM09,Forza P2,Livery,934,P
2010 Chevrolet #99 Green Earth Team Gunnar Oreca FLM09,#99 Chevy FLM09,,2010,Chevrolet,#99 Green Earth Team Gunnar Oreca FLM09,Forza P2,Livery,934,P
2010 Chevrolet Camaro SS,,,2010,Chevrolet,Camaro SS,Sports,Factory,481,B
2010 Chevrolet Cobalt SS Turbocharged,,,2010,Chevrolet,Cobalt SS Turbocharged,Sports,Factory,455,B
2010 Chevrolet Corvette Grand Sport,,,2010,Chevrolet,Corvette Grand Sport,Sports,Factory,561,A
2010 Chevrolet Corvette Grand Sport Convertible,,,2010,Chevrolet,Corvette Grand Sport Convertible,Open Top,Factory,573,A
2009 Chevrolet Aveo5 LT,,,2009,Chevrolet,Aveo5 LT,SubCom,Factory,102,F
2008 Chevrolet Monte Carlo SS Stock Car,,,2008,Chevrolet,Monte Carlo SS Stock Car,Coupe,Livery,715,R3
2007 Chevrolet #4 Corvette Racing C6.R,,,2007,Chevrolet,#4 Corvette Racing C6.R,GT1,Race,828,R2
2006 Chevrolet #4 Corvette Racing C6.R,,,2006,Chevrolet,#4 Corvette Racing C6.R,GT1,Race,823,R2
2006 Chevrolet Corvette Z06,,,2006,Chevrolet,Corvette Z06,Sports,Factory,589,A
2005 Chevrolet #31 Whelen Engineering Corvette Z06,,,2005,Chevrolet,#31 Whelen Engineering Corvette Z06,GT3,Race,713,R3
2005 Chevrolet #99 Tiger Racing Corvette Z06,,,2005,Chevrolet,#99 Tiger Racing Corvette Z06,GT3,Livery,711,R3
2005 Chevrolet Cobalt SS Coupe,,,2005,Chevrolet,Cobalt SS Coupe,Coupe,Factory,278,D
2005 Chevrolet Corvette C6,,,2005,Chevrolet,Corvette C6,,Factory,,A3
2004 Chevrolet #3 Corvette Racing C5.R,,,2004,Chevrolet,#3 Corvette Racing C5.R,GT1,Race,815,R2
2003 Chevrolet #50 Corvette Racing C5.R,,,2003,Chevrolet,#50 Corvette Racing C5.R,GT1,Livery,807,R2
2003 Chevrolet #73 3R-Racing Corvette Z06,,,2003,Chevrolet,#73 3R-Racing Corvette Z06,GT3,Livery,712,R3
2003 Chevrolet Corvette Guldstrand Edition,,,2003,Chevrolet,Corvette Guldstrand Edition,,Tuner,790,
2002 Chevrolet Lingenfelter 427 Corvette,,,2002,Chevrolet,Lingenfelter 427 Corvette,,Tuner,911,
1996 Chevrolet Corvette Grand Sport,,,1996,Chevrolet,Corvette Grand Sport,Sports,Factory,473,B
1990 Chevrolet #30 Douglas Shierson Racing Lola T90/00,Chevy Lola T9000,,1990,Chevrolet,#30 Douglas Shierson Racing Lola T90/00,IndyCar 90s,Race,,
1988 Chevrolet Monte Carlo Super Sport Forza Edition,Monte Carlo FE,,1988,Chevrolet,Monte Carlo Super Sport Forza Edition,Rebirth of Muscle,Upgraded,448,C
1971 Chevrolet Vega GT,Chevy Vega,,1971,Chevrolet,Vega GT,Vintage Sport Compact,Factory,247,E
1970 Chevrolet Chevelle Super Sport 454 Forza Edition,Chevelle '70 FE,,1970,Chevrolet,Chevelle Super Sport 454 Forza Edition,Classic Street Muscle,Upgraded,498,C
1970 Chevrolet Chevelle Super Sport 454 Horizon Edition,,,1970,Chevrolet,Chevelle Super Sport 454 Horizon Edition,Classic Street Muscle,Upgraded,604,B
1970 Chevrolet Chevelle Super Sport Barrett-Jackson Edition,Chevelle BJ '70,,1970,Chevrolet,Chevelle Super Sport Barrett-Jackson Edition,Classic Muscle,Tuner,757,A
1969 Chevrolet Camaro Super Sport Coupe Forza Edition,Camaro '69 FE,,1969,Chevrolet,Camaro Super Sport Coupe Forza Edition,Historic Road Racing,Upgraded,472,C
1969 Chevrolet Camaro Super Sport Coupe Horizon Edition,,,1969,Chevrolet,Camaro Super Sport Coupe Horizon Edition,Classic Muscle,Upgraded,612,B
1969 Chevrolet Camaro Z28,,,1969,Chevrolet,Camaro Z28,Sports,Factory,305,D
1969 Chevrolet Corvair Monza,,,1969,Chevrolet,Corvair Monza,Sports,Factory,137,F
1969 Chevrolet Nova Super Sport 396 Forza Edition,Nova '69 FE,,1969,Chevrolet,Nova Super Sport 396 Forza Edition,Classic Muscle,Upgraded,657,B
1967 Chevrolet Chevelle Super Sport 396,Chevelle '67,,1967,Chevrolet,Chevelle Super Sport 396,Classic Muscle,Factory,561,C
1966 Chevrolet Corvette F&F Edition,1966 Corvette FF,,1966,Chevrolet,Corvette F&F Edition,Fast & Furious,Tuner,552,B
1964 Chevrolet Impala Super Sport 409 Forza Edition,Chevy Impala FE,,1964,Chevrolet,Impala Super Sport 409 Forza Edition,Nostalgic Drag Racers,Upgraded,548,B
1963 Chevrolet Corvette Grand Sport F&F Edition,1963 Corvette FF,,1963,Chevrolet,Corvette Grand Sport F&F Edition,[custom],Tuner,,
1957 Chevrolet Bel Air Forza Edition,Chevy Bel Air FE,,1957,Chevrolet,Bel Air Forza Edition,Hot Rod Revival,Upgraded,,
1949 Chevrolet Fleetline Special F&F Edition,1949 Chevy FF,,1949,Chevrolet,Fleetline Special F&F Edition,Fast & Furious,Tuner,549,B
2012 Chrysler 300 SRT8,Chrysler 300,,2012,Chrysler,300 SRT8,Sport Touring,Factory,510,B
2008 Chrysler 300C SRT-8,,,2008,Chrysler,300C SRT-8,Sedan,Factory,461,B
2006 Chrysler Crossfire SRT6,,,2006,Chrysler,Crossfire SRT6,Sports,Factory,446,B
2005 Chrysler ME Four-Twelve Concept,,,2005,Chrysler,ME Four-Twelve Concept,,Factory,999,U
2004 Chrysler PT Cruiser GT,,,2004,Chrysler,PT Cruiser GT,Hatch,Factory,247,E
2069 Chryslus Rocket 69,Chryslus Rocket,,2069,Chryslus,Rocket 69,? none,Fantasy,,
2011 Citroen C1,,,2011,Citroen,C1,City,Factory,101,F
2011 Citroen DS3,,,2011,Citroen,DS3,Hatch,Factory,291,D
2011 Citroen DS4,,,2011,Citroen,DS4,Hatch,Factory,319,D
2009 Citroen C4 VTS,,,2009,Citroen,C4 VTS,Economy,Factory,275,E
1986 Citroen BX4TC,,,1986,Citroen,BX4TC,Retro Rally,Factory,,
1970 Citroen 2CV,Citroen 2CV,,1970,Citroen,2CV,Major Micros,Factory,100,E
2022 CUPRA UrbanRebel Concept,UrbanRebel '22,,2022,CUPRA,UrbanRebel Concept,Track Toys,Race,854,S1
1971 De Tomaso Pantera,,,1971,De Tomaso,Pantera,Sports,Factory,399,C
"2019 DeBerti Toyota Tacoma TRD ""The Performance Truck""",DD Tacoma TRD,,2019,DeBerti,"Toyota Tacoma TRD ""The Performance Truck""",Drift Cars,Tuner,836,S1
2018 DeBerti Chevrolet Silverado 1500 Drift Truck,Silverado DD,,2018,DeBerti,Chevrolet Silverado 1500 Drift Truck,Drift Cars,Tuner,798,A
2018 DeBerti F-150 Prerunner Truck,DeBerti F-150,,2018,DeBerti,F-150 Prerunner Truck,Unlimited Offroad,Tuner,691,B
2018 DeBerti Wrangler Unlimited,DeBerti Wrangler,,2018,DeBerti,Wrangler Unlimited,Unlimited Offroad,Tuner,749,A
1965 DeBerti Chevrolet C10 'Slayer',,,1965,DeBerti,Chevrolet C10 'Slayer',Rods and Customs,Tuner,,
1982 DeLorean DMC-12,DeLorean DMC-12,,1982,DeLorean,DMC-12,Retro Sports Cars,Factory,464,D
2010 Devon GTX GT3,,,2010,Devon,GTX GT3,Super,Factory,653,S
2022 Dodge Challenger SRT Super Stock,,,2022,Dodge,Challenger SRT Super Stock,Modern Muscle,Factory,,
2021 Dodge Durango SRT Hellcat,,,2021,Dodge,Durango SRT Hellcat,Sports Utility Heroes,Factory,,
2018 Dodge Demon F&F Edition,Dodge Demon FF,,2018,Dodge,Demon F&F Edition,Fast & Furious,Tuner,660,A
2018 Dodge Durango SRT,Dodge Durango,,2018,Dodge,Durango SRT,Sports Utility Heroes,Factory,666,B
2015 Dodge Challenger R/T F&F Edition,,,2015,Dodge,Challenger R/T F&F Edition,[custom],Tuner,800,A
2015 Dodge Challenger SRT Hellcat,Challenger '15,,2015,Dodge,Challenger SRT Hellcat,Modern Muscle,Factory,755,A
2015 Dodge Challenger SRT Hellcat Battletoads Edition,Challenger BT,,2015,Dodge,Challenger SRT Hellcat Battletoads Edition,Ultimate Sport Machines,Livery,,
2015 Dodge Challenger SRT Hellcat Horizon Edition,,,2015,Dodge,Challenger SRT Hellcat Horizon Edition,Modern Muscle,Upgraded,766,A
2015 Dodge Challenger SRT Hellcat PreOrder Car,,,2015,Dodge,Challenger SRT Hellcat PreOrder Car,Modern Muscle,Upgraded,800,A
2015 Dodge Charger R/T F&F Edition,,,2015,Dodge,Charger R/T F&F Edition,[custom],Tuner,800,A
2015 Dodge Team Forza Challenger SRT Hellcat,Challenger TF,,2015,Dodge,Team Forza Challenger SRT Hellcat,Ultimate Sport Machines,Livery,,
2013 Dodge Dart GT Forza Edition,Dart GT FE '13,,2013,Dodge,Dart GT Forza Edition,Sport Compact,Upgraded,516,B
2013 Dodge SRT Viper GTS Anniversary Edition,Viper '13 AE,,2013,Dodge,SRT Viper GTS Anniversary Edition,Modern Muscle,Upgraded,900,S1
2012 Dodge Challenger SRT8 392 (Day One livery),,,2012,Dodge,Challenger SRT8 392 (Day One livery),Modern Muscle Cars,Livery,746,A
2012 Dodge Charger SRT8,Dodge Charger 12,,2012,Dodge,Charger SRT8,Sport Touring,Factory,500,C
2012 Dodge Charger SRT8 LCE Livery,,,2012,Dodge,Charger SRT8 LCE Livery,Sedan,Livery,494,B
"2010 Dodge Quinton ""Rampage"" Jackson Challenger SRT8 ",,,2010,Dodge,"Quinton ""Rampage"" Jackson Challenger SRT8 ",Sports,Tuner,498,B
2009 Dodge Challenger SRT8,,,2009,Dodge,Challenger SRT8,Sports,Factory,464,B
2008 Dodge #11 Primetime Racing Group Viper CC,,,2008,Dodge,#11 Primetime Racing Group Viper CC,GT3,Livery,730,R3
2008 Dodge #2 Mopar Viper Competition Coupe,,,2008,Dodge,#2 Mopar Viper Competition Coupe,GT3,Race,730,R3
2008 Dodge Charger Stock Car,,,2008,Dodge,Charger Stock Car,Saloon,Livery,713,R3
2008 Dodge Magnum SRT8,Dodge Magnum,,2008,Dodge,Magnum SRT8,Modern Muscle,Factory,669,B
2008 Dodge Viper SRT10 ACR Forza Edition,,,2008,Dodge,Viper SRT10 ACR Forza Edition,Sport GT,Upgraded,774,S
2008 Dodge Viper SRT10 ACR Horizon Edition,,,2008,Dodge,Viper SRT10 ACR Horizon Edition,Modern Muscle,Upgraded,912,S2
2008 Dodge Xbox 360 Charger Stock Car,,,2008,Dodge,Xbox 360 Charger Stock Car,AmStock,Race,713,R3
2006 Dodge Challenger Concept,,,2006,Dodge,Challenger Concept,,Factory,594,B
2006 Dodge Charger SRT8,,,2006,Dodge,Charger SRT8,Sedan,Factory,456,B
2006 Dodge Ram SRT10,,,2006,Dodge,Ram SRT10,SUV,Factory,380,C
2005 Dodge #77 Team Zakspeed Viper ACR,,,2005,Dodge,#77 Team Zakspeed Viper ACR,,Race,,R3
2004 Dodge #22 3R-Racing Viper Comp Coupe,,,2004,Dodge,#22 3R-Racing Viper Comp Coupe,GT3,Race,712,R3
2003 Dodge #126 Team Zakspeed Viper GTS-R,,,2003,Dodge,#126 Team Zakspeed Viper GTS-R,GT2,Race,811,R2
2003 Dodge #23 Magellan Financial Viper Comp Coupe,,,2003,Dodge,#23 Magellan Financial Viper Comp Coupe,GT3,Livery,711,R3
2003 Dodge SRT4,,,2003,Dodge,SRT4,Saloon,Factory,343,D
2003 Dodge Viper Competition Coupe,,,2003,Dodge,Viper Competition Coupe,Super,Race,724,R3
2003 Dodge Viper SRT-10,,,2003,Dodge,Viper SRT-10,Sports,Factory,580,A
2002 Dodge #1 Team Zakspeed Viper GTS-R,,,2002,Dodge,#1 Team Zakspeed Viper GTS-R,GT1,Livery,768,R3
2001 Dodge #58 Larbre Competition Viper GTS-R,,,2001,Dodge,#58 Larbre Competition Viper GTS-R,,Race,,R3
2000 Dodge #57 Carsport Holland Viper GTS-R,,,2000,Dodge,#57 Carsport Holland Viper GTS-R,GT1,Livery,766,R3
2000 Dodge #91 Viper Team Oreca GTS-R,,,2000,Dodge,#91 Viper Team Oreca GTS-R,GT2,Race,823,R2
2000 Dodge Hennessey Viper 800TT,,,2000,Dodge,Hennessey Viper 800TT,,Tuner,953,S
1970 Dodge Challenger R/T Hemi,,,1970,Dodge,Challenger R/T Hemi,Coupe,Factory,347,D
1970 Dodge Charger R/T F&F Edition,1970 Charger FF,,1970,Dodge,Charger R/T F&F Edition,Rods and Customs,Tuner,,
1969 Dodge Charger Daytona F&F Edition,1969 Charger FF,,1969,Dodge,Charger Daytona F&F Edition,[custom],Tuner,,
1969 Dodge Charger Daytona HEMI Forza Edition,,,1969,Dodge,Charger Daytona HEMI Forza Edition,Historic Road Racing,Upgraded,,
1969 Dodge Charger R/T Forza Edition,Charger '69 FE,,1969,Dodge,Charger R/T Forza Edition,Track Toys,Upgraded,900,S1
1968 Dodge Charger F&F Edition,1968 Charger FF,,1968,Dodge,Charger F&F Edition,[custom],Tuner,,
1968 Dodge Charger F&F Edition (Ice),Ice Charger FF,,1968,Dodge,Charger F&F Edition (Ice),Fast & Furious,Tuner,681,A
1968 Dodge Dart HEMI Super Stock,Dodge Dart '68,,1968,Dodge,Dart HEMI Super Stock,Classic Muscle,Factory,650,B
1968 Dodge Dart HEMI Super Stock Forza Edition,Dodge Dart FE,,1968,Dodge,Dart HEMI Super Stock Forza Edition,Nostalgic Drag Racers,Upgraded,550,B
1968 Dodge Dart HEMI Super Stock Horizon Edition,,,1968,Dodge,Dart HEMI Super Stock Horizon Edition,Classic Muscle,Upgraded,762,A
1967 Dodge Coronet WO23,Dodge Coronet,,1967,Dodge,Coronet WO23,Nostalgic Drag Racers,Factory,391,D
1975 DS Automobiles DS 23,Citroen DS 23,,1975,DS Automobiles,DS 23,Cult Cars,Factory,262,D
2012 Eagle (U.K.) Speedster,Eagle Speedster,,2012,Eagle (U.K.),Speedster,Modern Sports Cars,Factory,723,A
2018 Exomotive Exocet Off-Road,Exocet Off-Road,,2018,Exomotive,Exocet Off-Road,Unlimited Buggies,Factory,682,B
2018 Exomotive Exocet Off-Road Forza Edition,Exocet OR FE,,2018,Exomotive,Exocet Off-Road Forza Edition,Rally Monsters,Upgraded,800,A
2022 Extreme E #125 ABT Cupra XE,#125 Extreme E,,2022,Extreme E,#125 ABT Cupra XE,Unlimited Offroad,Livery,748,A
2022 Extreme E #22 JBXE,#22 Extreme E,,2022,Extreme E,#22 JBXE,Unlimited Offroad,Livery,748,A
2022 Extreme E #23 Genesys Andretti United,#23 Extreme E,,2022,Extreme E,#23 Genesys Andretti United,Unlimited Offroad,Livery,748,A
2022 Extreme E #42 XITE Racing Team,#42 Extreme E,,2022,Extreme E,#42 XITE Racing Team,Unlimited Offroad,Livery,748,A
2022 Extreme E #44 X44,#44 Extreme E,,2022,Extreme E,#44 X44,Unlimited Offroad,Livery,748,A
2022 Extreme E #5 Veloce Racing,#5 Extreme E,,2022,Extreme E,#5 Veloce Racing,Unlimited Offroad,Livery,748,A
2022 Extreme E #55 ACCIONA / Sainz XE Team,# 55 Extreme E,,2022,Extreme E,#55 ACCIONA / Sainz XE Team,Unlimited Offroad,Livery,748,A
2022 Extreme E #58 McLaren Racing,#58 Extreme E,,2022,Extreme E,#58 McLaren Racing,Unlimited Offroad,Livery,748,A
2022 Extreme E #6 Rosberg X Racing,#6 Extreme E,,2022,Extreme E,#6 Rosberg X Racing,Unlimited Offroad,Livery,748,A
2022 Extreme E #99 Chip Ganassi Racing GMC Hummer EV,#99 Extreme E,,2022,Extreme E,#99 Chip Ganassi Racing GMC Hummer EV,Unlimited Offroad,Race,748,A
2017 Ferrari GTC4Lusso,Ferrari GTC4L,,2017,Ferrari,GTC4Lusso,Super GT,Factory,816,S1
2015 Ferrari 488 GTB PreOrder Edition,,,2015,Ferrari,488 GTB PreOrder Edition,Modern Super Cars,Upgraded,900,S1
2014 Ferrari #51 AF Corse 458 Italia GTE,#51 Ferrari 458,,2014,Ferrari,#51 AF Corse 458 Italia GTE,Forza GT,Race,848,R
2014 Ferrari #62 Risi Competizione 458 Italia GTLM,#62 F458 GTLM,,2014,Ferrari,#62 Risi Competizione 458 Italia GTLM,Forza GT,Race,848,R
2012 Ferrari F12berlinetta,Ferrari F12,,2012,Ferrari,F12berlinetta,Super GT,Factory,868,S1
2011 Ferrari 458 Challenge,,,2011,Ferrari,458 Challenge,Super,Factory,730,R3
2011 Ferrari 458 Spider,,,2011,Ferrari,458 Spider,Open Top,Factory,653,S
2011 Ferrari FF,Ferrari FF,,2011,Ferrari,FF,Modern Super Cars,Factory,815,S1
2010 Ferrari #83 Risi Competizione F430GT,,,2010,Ferrari,#83 Risi Competizione F430GT,GT2,Livery,763,R3
2010 Ferrari #89 Hankook Team Farnbacher F430GT,,,2010,Ferrari,#89 Hankook Team Farnbacher F430GT,GT2,Livery,763,R3
2010 Ferrari 599 GTO,Ferrari 599 GTO,,2010,Ferrari,599 GTO,Super GT,Factory,828,S1
2009 Ferrari Team Forza 458 Italia,Ferrari 458 TF,,2009,Ferrari,Team Forza 458 Italia,Exotic GT,Upgraded,,
2008 Ferrari #71 Tafel Racing F430 GT,,,2008,Ferrari,#71 Tafel Racing F430 GT,GT2,Livery,752,R3
2008 Ferrari #90 Farnbacher Racing F430GT,,,2008,Ferrari,#90 Farnbacher Racing F430GT,GT2,Livery,763,R3
2008 Ferrari California,Ferrari Cali,,2008,Ferrari,California,Sport Luxury,Factory,612,A
2006 Ferrari #62 Risi Competizione F430GT,,,2006,Ferrari,#62 Risi Competizione F430GT,GT2,Race,763,R3
2006 Ferrari 599 GTB Fiorano,,,2006,Ferrari,599 GTB Fiorano,Sports,Factory,630,S
2005 Ferrari #11 Larbre Competition 550 Maranello GTS,,,2005,Ferrari,#11 Larbre Competition 550 Maranello GTS,GT1,Livery,808,R2
2005 Ferrari FXX,Ferrari FXX,,2005,Ferrari,FXX,Extreme Track Toys,Race,956,S2
2004 Ferrari 612 Scaglietti,Ferrari 612,,2004,Ferrari,612 Scaglietti,Sport GT Icons,Factory,575,B
2004 Ferrari F430,,,2004,Ferrari,F430,Sports,Factory,598,A
2003 Ferrari #72 Team Alphand Aventures 550 Maranello GTS,,,2003,Ferrari,#72 Team Alphand Aventures 550 Maranello GTS,GT1,Livery,806,R2
2003 Ferrari #88 Veloqx / Prodrive Racing 550 Maranello,,,2003,Ferrari,#88 Veloqx / Prodrive Racing 550 Maranello,GT1,Race,805,R2
1999 Ferrari 360 Modena,,,1999,Ferrari,360 Modena,Sports,Factory,550,A
1998 Ferrari #30 MOMO Doran Racing F333 SP,#30 Ferrari F333,,1998,Ferrari,#30 MOMO Doran Racing F333 SP,Early Prototype Racers,Livery,985,P
1998 Ferrari 355 GTS,,,1998,Ferrari,355 GTS,,Factory,,A3
"1996 Ferrari F50 GT ""Welcome Pack""",Ferrari F50 WP,,1996,Ferrari,"F50 GT ""Welcome Pack""",Extreme Track Toys,Upgraded,998,S2
1995 Ferrari F355 Challenge,,,1995,Ferrari,F355 Challenge,Sports,Factory,548,A
1982 Ferrari #71 Ferrari France 512 BB/LM,#71 Ferrari BBLM,,1982,Ferrari,#71 Ferrari France 512 BB/LM,GT Racing Reborn,Livery,792,S
1971 Ferrari #2 Ferrari Automobili 312 P,#2 Ferrari 312 P,,1971,Ferrari,#2 Ferrari Automobili 312 P,Prototype Group Racing,Race,830,R
1968 Ferrari 365 GTB/4,Ferrari 365 GTB4,,1968,Ferrari,365 GTB/4,Rare Classics,Factory,637,B
1964 Ferrari 250 GTO,,,1964,Ferrari,250 GTO,Sports,Factory,440,B
1957 Ferrari 250 California,Ferrari 250 Cali,,1957,Ferrari,250 California,Rare Classics,Factory,564,C
1952 Ferrari 375,Ferrari 375,,1952,Ferrari,375,The Birth of Grand Prix,Race,623,A
1948 Ferrari 166MM Barchetta,Ferrari 166MM,,1948,Ferrari,166MM Barchetta,Classic Racers,Race,554,C
2010 FIAT Punto Evo SPORT,,,2010,FIAT,Punto Evo SPORT,Hatch,Factory,243,E
2000 FIAT Coupe 2.0 20V Turbo,,,2000,FIAT,Coupe 2.0 20V Turbo,Sports,Factory,411,C
1980 FIAT 124 Sport Spider,FIAT 124 Spider,,1980,FIAT,124 Sport Spider,Classic Sports Cars,Factory,288,D
1975 FIAT X1/9,FIAT X1/9,,1975,FIAT,X1/9,Classic Sports Cars,Factory,127,D
1952 FIAT 8V Supersonic,Fiat 8V,,1952,FIAT,8V Supersonic,Vintage Sport Coupe,Factory,245,E
2023 Ford F-150 Raptor R,,,2023,Ford,F-150 Raptor R,Pickups & 4x4s,Factory,,
2023 Ford Fiesta ST,,,2023,Ford,Fiesta ST,Hot Hatch,Factory,,
2022 Ford F-150 Lightning Platinum,F-150 Lightning,,2022,Ford,F-150 Lightning Platinum,Pickups & 4x4s,Factory,607,B
2022 Ford Fiesta ST,,,2022,Ford,Fiesta ST,,Factory,,
2022 Ford Supervan 4,,,2022,Ford,Supervan 4,Extreme Track Toys,Tuner,,
2021 Ford Bronco,Ford Bronco '21,,2021,Ford,Bronco,Pickups & 4x4s,Factory,560,C
2021 Ford Mustang Mach-E 1400,Ford Mach-E 1400,,2021,Ford,Mustang Mach-E 1400,Track Toys,Tuner,900,S1
2020 Ford #2069 Ford Performance Bronco R,Bronco R,,2020,Ford,#2069 Ford Performance Bronco R,Offroad,Race,544,C
2020 Ford #2069 Ford Performance Bronco R 'Welcome Pack',Bronco R WP,,2020,Ford,#2069 Ford Performance Bronco R 'Welcome Pack',Offroad,Upgraded,800,A
2020 Ford Super Duty F-450 DRW Platinum,Ford SD F-450,,2020,Ford,Super Duty F-450 DRW Platinum,Pickups & 4x4s,Factory,466,D
2019 Ford Ranger Raptor,Ranger Raptor,,2019,Ford,Ranger Raptor,Pickups & 4x4s,Factory,451,D
2019 Ford Ranger Raptor Traffic,,,2019,Ford,Ranger Raptor Traffic,,Traffic,,
2018 Ford #25 Mustang RTR,#25 RTR Mustang,,2018,Ford,#25 Mustang RTR,Drift Cars,Race,834,S1
2018 Ford #88 Mustang RTR,#88 RTR Mustang,,2018,Ford,#88 Mustang RTR,Drift Cars,Livery,834,S1
2018 Ford Mustang GT DeBerti Design,Ford Mustang DD,,2018,Ford,Mustang GT DeBerti Design,Modern Muscle,Tuner,835,S1
2018 Ford Mustang RTR Spec 5,Ford Mustang S5,,2018,Ford,Mustang RTR Spec 5,Modern Muscle,Tuner,757,A
2017 Ford #14 Rahal Letterman Lanigan Racing GRC Fiesta,#14 Ford Fiesta,,2017,Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta,Rally Monsters,Race,860,S1
2017 Ford #22 Team Penske Autotrader Fusion,#22 Ford Fusion,,2017,Ford,#22 Team Penske Autotrader Fusion,NASCAR,Livery,833,R
2017 Ford #22 Team Penske Duralast GT Fusion,#22 Ford Penske,,2017,Ford,#22 Team Penske Duralast GT Fusion,NASCAR,Livery,833,R
2017 Ford #22 Team Penske Pennzoil Fusion,#22 Ford Joey,,2017,Ford,#22 Team Penske Pennzoil Fusion,NASCAR,Race,833,R
2017 Ford #25 'Brocky' Ultra4 Bronco RTR,#25 Ford Bronco,,2017,Ford,#25 'Brocky' Ultra4 Bronco RTR,Unlimited Offroad,Race,748,A
2017 Ford F-150 Raptor,Ford Raptor '17,,2017,Ford,F-150 Raptor,Pickups & 4x4s,Factory,559,C
